date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:48	69308/69308	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/index.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/index.html	(from )
15:31:49	54/54	---M-Z	404	error ('Not%20Found%20')	text/plain	date:Mon,%2016%20Jun%202014%2010:01:48%20GMT	http://infinite-woodland-5276.herokuapp.com/robots.txt		(from )
15:31:51	99131/99131	---M-Z	200	added ('OK%20')	text/css	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/stylesheets/bootstrap.min.css	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/stylesheets/bootstrap.min.css	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:53	14218/14218	---M-Z	200	added ('OK%20')	text/css	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/stylesheets/widgets.min.css	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/stylesheets/widgets.min.css	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:54	288121/288121	---M-Z	200	added ('OK%20')	text/css	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/stylesheets/pixel-admin.min.css	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/stylesheets/pixel-admin.min.css	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:55	62975/62975	---M-Z	200	added ('OK%20')	text/css	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/stylesheets/rtl.min.css	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/stylesheets/rtl.min.css	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:56	18880/18880	---M-Z	200	added ('OK%20')	application/javascript	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/demo.js	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/demo.js	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:57	271476/271476	---M-Z	200	added ('OK%20')	text/css	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/stylesheets/themes.min.css	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/stylesheets/themes.min.css	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:57	968/968	---M-Z	200	added ('OK%20')	image/png	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/images/pixel-admin/main-navbar-logo.png	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/images/pixel-admin/main-navbar-logo.png	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:31:59	8750/8750	---M-Z	200	added ('OK%20')	image/jpeg	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/avatars/2.jpg	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/avatars/2.jpg	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:01	15991/15991	---M-Z	200	added ('OK%20')	image/jpeg	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/avatars/3.jpg	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/avatars/3.jpg	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:01	10241/10241	---M-Z	200	added ('OK%20')	image/jpeg	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/avatars/4.jpg	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/avatars/4.jpg	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:02	12960/12960	---M-Z	200	added ('OK%20')	image/jpeg	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/avatars/5.jpg	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/avatars/5.jpg	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:04	8042/8042	---M-Z	200	added ('OK%20')	image/jpeg	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/assets/demo/avatars/1.jpg	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/assets/demo/avatars/1.jpg	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:05	8352/8352	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/pages-signin.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/pages-signin.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:07	29700/29700	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/layouts-grid.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/layouts-grid.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:08	32422/32422	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/layouts-main-menu.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/layouts-main-menu.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:09	41022/41022	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/stat-panels.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/stat-panels.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:11	66433/66433	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/widgets.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/widgets.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:11	51048/51048	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-buttons.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-buttons.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:12	32796/32796	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-typography.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-typography.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:13	63813/63813	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-tabs.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-tabs.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:15	42046/42046	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-modals.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-modals.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:16	46435/46435	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-alerts.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-alerts.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:17	46012/46012	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-components.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-components.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:18	46095/46095	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-panels.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-panels.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:20	48062/48062	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-jqueryui.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-jqueryui.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:21	80228/80228	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-icons.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-icons.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:21	39983/39983	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/ui-utility-classes.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/ui-utility-classes.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:23	33549/33549	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/forms-layouts.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/forms-layouts.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:24	44917/44917	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/forms-general.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/forms-general.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:26	75069/75069	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/forms-advanced.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/forms-advanced.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
15:32:27	34235/34235	---M-Z	200	added ('OK%20')	text/html	date:Mon,%2005%20May%202014%2011:47:01%20GMT	http://infinite-woodland-5276.herokuapp.com/forms-pickers.html	F:/html%20templaes/httrack/admin/http___infinite-woodland-5276.herokuapp.com_index.html/infinite-woodland-5276.herokuapp.com/forms-pickers.html	(from http://infinite-woodland-5276.herokuapp.com/index.html)
